Mughal Empire coin scraper
  Category: cat=585 (Mughal Empire)
  cc: MG  |  dyn: الإمبراطورية المغولية

  Session ready. Cookie: PHPSESSID=ibc1sslqc3k3b1tgvhljc5uv41; ppid=deleted...
  Mode: FULL (limit: all)

══ Collecting coin IDs from cat=585... ══
  Found 11033 unique photo IDs.
  11033 to fetch (0 already done).
  ✓ 50 scraped  (total: 50)
  ✓ 100 scraped  (total: 100)
  ✓ 150 scraped  (total: 150)
  ✓ 200 scraped  (total: 200)
  ✓ 250 scraped  (total: 250)
  ✓ 300 scraped  (total: 300)
  ✓ 350 scraped  (total: 350)
  ✓ 400 scraped  (total: 400)
  ✓ 450 scraped  (total: 450)
  ✓ 500 scraped  (total: 500)
  💾 Checkpoint: 500 coins saved.
  ✓ 550 scraped  (total: 550)
  ✓ 600 scraped  (total: 600)
  ✓ 650 scraped  (total: 650)
  ✓ 700 scraped  (total: 700)
  ✓ 750 scraped  (total: 750)
  ✓ 800 scraped  (total: 800)
  ✓ 850 scraped  (total: 850)
  ✓ 900 scraped  (total: 900)
  ✓ 950 scraped  (total: 950)
  ✓ 1000 scraped  (total: 1000)
  💾 Checkpoint: 1000 coins saved.
  ✓ 1050 scraped  (total: 1050)
  ✓ 1100 scraped  (total: 1100)
  ✓ 1150 scraped  (total: 1150)
  ✓ 1200 scraped  (total: 1200)
  ✓ 1250 scraped  (total: 1250)
  ✓ 1300 scraped  (total: 1300)
  ✓ 1350 scraped  (total: 1350)
  ✓ 1400 scraped  (total: 1400)
  ✓ 1450 scraped  (total: 1450)
  ✓ 1500 scraped  (total: 1500)
  💾 Checkpoint: 1500 coins saved.
  ✓ 1550 scraped  (total: 1550)
  ✓ 1600 scraped  (total: 1600)
  ✓ 1650 scraped  (total: 1650)
  ✓ 1700 scraped  (total: 1700)
  ✓ 1750 scraped  (total: 1750)
  ✓ 1800 scraped  (total: 1800)
  ✓ 1850 scraped  (total: 1850)
  ✓ 1900 scraped  (total: 1900)
  ✓ 1950 scraped  (total: 1950)
  ✓ 2000 scraped  (total: 2000)
  💾 Checkpoint: 2000 coins saved.
  ✓ 2050 scraped  (total: 2050)
  ✓ 2100 scraped  (total: 2100)
  ✓ 2150 scraped  (total: 2150)
  ✓ 2200 scraped  (total: 2200)
  ✓ 2250 scraped  (total: 2250)
  ✓ 2300 scraped  (total: 2300)
  ✓ 2350 scraped  (total: 2350)
  ✓ 2400 scraped  (total: 2400)
  ✓ 2450 scraped  (total: 2450)
  ✓ 2500 scraped  (total: 2500)
  💾 Checkpoint: 2500 coins saved.
  ✓ 2550 scraped  (total: 2550)
  ✓ 2600 scraped  (total: 2600)
  ✓ 2650 scraped  (total: 2650)
  ✓ 2700 scraped  (total: 2700)
  ✓ 2750 scraped  (total: 2750)
  ✓ 2800 scraped  (total: 2800)
  ✓ 2850 scraped  (total: 2850)
  ✓ 2900 scraped  (total: 2900)
  ✓ 2950 scraped  (total: 2950)
  ✓ 3000 scraped  (total: 3000)
  💾 Checkpoint: 3000 coins saved.
  ✓ 3050 scraped  (total: 3050)
  ✓ 3100 scraped  (total: 3100)
  ✓ 3150 scraped  (total: 3150)
  ✓ 3200 scraped  (total: 3200)
  ✓ 3250 scraped  (total: 3250)
  ✓ 3300 scraped  (total: 3300)
  ✓ 3350 scraped  (total: 3350)
  ✓ 3400 scraped  (total: 3400)
  ✓ 3450 scraped  (total: 3450)
  ✓ 3500 scraped  (total: 3500)
  💾 Checkpoint: 3500 coins saved.
  ✓ 3550 scraped  (total: 3550)
  ✓ 3600 scraped  (total: 3600)
  ✓ 3650 scraped  (total: 3650)
  ✓ 3700 scraped  (total: 3700)
  ✓ 3750 scraped  (total: 3750)
  ✓ 3800 scraped  (total: 3800)
  ✓ 3850 scraped  (total: 3850)
  ✓ 3900 scraped  (total: 3900)
  ✓ 3950 scraped  (total: 3950)
  ✓ 4000 scraped  (total: 4000)
  💾 Checkpoint: 4000 coins saved.
  ✓ 4050 scraped  (total: 4050)
  ✓ 4100 scraped  (total: 4100)
  ✓ 4150 scraped  (total: 4150)
  ✓ 4200 scraped  (total: 4200)
  ✓ 4250 scraped  (total: 4250)
  ✓ 4300 scraped  (total: 4300)
  ✓ 4350 scraped  (total: 4350)
  ✓ 4400 scraped  (total: 4400)
  ✓ 4450 scraped  (total: 4450)
  ✓ 4500 scraped  (total: 4500)
  💾 Checkpoint: 4500 coins saved.
  ✓ 4550 scraped  (total: 4550)
  ✓ 4600 scraped  (total: 4600)
  ✓ 4650 scraped  (total: 4650)
  ✓ 4700 scraped  (total: 4700)
  ✓ 4750 scraped  (total: 4750)
  ✓ 4800 scraped  (total: 4800)
  ✓ 4850 scraped  (total: 4850)
  ✓ 4900 scraped  (total: 4900)
  ✓ 4950 scraped  (total: 4950)
  ✓ 5000 scraped  (total: 5000)
  💾 Checkpoint: 5000 coins saved.
  ✓ 5050 scraped  (total: 5050)
  ✓ 5100 scraped  (total: 5100)
  ✓ 5150 scraped  (total: 5150)
  ✓ 5200 scraped  (total: 5200)
  ✓ 5250 scraped  (total: 5250)
  ✓ 5300 scraped  (total: 5300)
  ✓ 5350 scraped  (total: 5350)
  ✓ 5400 scraped  (total: 5400)
  ✓ 5450 scraped  (total: 5450)
  ✓ 5500 scraped  (total: 5500)
  💾 Checkpoint: 5500 coins saved.
  ✓ 5550 scraped  (total: 5550)
  ✓ 5600 scraped  (total: 5600)
  ✓ 5650 scraped  (total: 5650)
  ✓ 5700 scraped  (total: 5700)
  ✓ 5750 scraped  (total: 5750)
  ✓ 5800 scraped  (total: 5800)
  ✓ 5850 scraped  (total: 5850)
  ✓ 5900 scraped  (total: 5900)
  ✓ 5950 scraped  (total: 5950)
  ✓ 6000 scraped  (total: 6000)
  💾 Checkpoint: 6000 coins saved.
  ✓ 6050 scraped  (total: 6050)
  ✓ 6100 scraped  (total: 6100)
  ✓ 6150 scraped  (total: 6150)
  ✓ 6200 scraped  (total: 6200)
  ✓ 6250 scraped  (total: 6250)
  ✓ 6300 scraped  (total: 6300)
  ✓ 6350 scraped  (total: 6350)
  ✓ 6400 scraped  (total: 6400)
  ✓ 6450 scraped  (total: 6450)
  ✓ 6500 scraped  (total: 6500)
  💾 Checkpoint: 6500 coins saved.
  ✓ 6550 scraped  (total: 6550)
  ✓ 6600 scraped  (total: 6600)
  ✓ 6650 scraped  (total: 6650)
  ✓ 6700 scraped  (total: 6700)
  ✓ 6750 scraped  (total: 6750)
  ✓ 6800 scraped  (total: 6800)
  ✓ 6850 scraped  (total: 6850)
  ✓ 6900 scraped  (total: 6900)
  ✓ 6950 scraped  (total: 6950)
  ✓ 7000 scraped  (total: 7000)
  💾 Checkpoint: 7000 coins saved.
  ✓ 7050 scraped  (total: 7050)
  ✓ 7100 scraped  (total: 7100)
  ✓ 7150 scraped  (total: 7150)
  ✓ 7200 scraped  (total: 7200)
  ✓ 7250 scraped  (total: 7250)
  ✓ 7300 scraped  (total: 7300)
  ✓ 7350 scraped  (total: 7350)
  ✓ 7400 scraped  (total: 7400)
  ✓ 7450 scraped  (total: 7450)
  ✓ 7500 scraped  (total: 7500)
  💾 Checkpoint: 7500 coins saved.
  ✓ 7550 scraped  (total: 7550)
  ✓ 7600 scraped  (total: 7600)
  ✓ 7650 scraped  (total: 7650)
  ✓ 7700 scraped  (total: 7700)
  ✓ 7750 scraped  (total: 7750)
  ✓ 7800 scraped  (total: 7800)
  ✓ 7850 scraped  (total: 7850)
